Ticker,Market Cap,Outstanding,Float,Insider Own,Insider Trans,Inst Own,Inst Trans,Float Short,Short Ratio,Avg Volume,Price,Change,Volume
FFIC,694910000.0,30780000.0,29040000.0,0.038,-0.0031,0.732,-0.0017000000000000001,0.011399999999999999,1.98,166840.0,21.97,0.0368,119957.0
FFIN,6800000000.0,142060000.0,135950000.0,0.011000000000000001,-0.019299999999999998,0.573,0.0369,0.0371,11.8,427880.0,46.42,0.0369,762833.0
FFIV,11620000000.0,61440000.0,61410000.0,0.003,-0.17739999999999997,0.9953,0.019,0.0574,4.75,741520.0,188.37,-0.0197,563919.0
FFNW,133330000.00000001,9660000.0,7390000.0,0.018000000000000002,-0.0113,0.42700000000000005,-0.0435,0.01,6.16,11970.0,13.76,0.013999999999999999,4807.0
FFWM,1090000000.0,44630000.0,39110000.0,0.003,-0.3873,0.6409999999999999,0.0254,0.0171,4.96,134490.0,23.53,0.0147,130941.0
FGBI,162810000.0,9740000.0,4700000.0,0.006999999999999999,0.10099999999999999,0.11199999999999999,0.0168,0.011399999999999999,5.53,9700.0,16.75,0.0072,9494.0
FGEN,3120000000.0,90560000.0,83640000.0,0.01,-0.0638,0.8029999999999999,0.0461,0.0753,7.07,890520.0,34.35,-0.0977,2993738.0
FGF,25100000.0,5890000.0,3330000.0,0.3276,0.0,0.856,-0.0931,0.022799999999999997,0.31,246430.0,5.0,-0.0366,5080.0
FGM,,,,,,,,,,5990.0,51.41,-0.0029,5922.0
FHB,3880000000.0,129910000.0,129050000.00000001,0.003,0.005699999999999999,,-0.036699999999999997,0.0359,7.14,649910.0,28.91,0.0147,675501.0
FHTX,594660000.0,36460000.0,29800000.0,0.121,0.07440000000000001,0.624,,0.0173,4.22,122180.0,16.31,0.0245,65061.0
FIBK,3040000000.0,63770000.0,40450000.0,0.003,-0.7659999999999999,0.772,-0.0207,0.0346,6.59,212390.0,46.99,0.0229,335847.0
FID,,,,,,,,,,11830.0,17.02,0.0,25784.0
FIII,330040000.0,31990000.0,24640000.0,,,0.39,0.5697,0.032,0.39,2020000.0,10.18,-0.024,1166248.0
FIIIU,,,19490000.0,0.0239,,0.6456999999999999,,0.0,0.0,62800.0,10.91,-0.019799999999999998,2170.0
FINMU,,,,,,,,,0.0,628140.0,10.1,-0.011699999999999999,180030.0
FINX,,,,,,,,,,293960.0,46.45,-0.036699999999999997,397689.0
FISI,463000000.0,16030000.000000002,15670000.0,0.003,0.0,0.684,-0.0187,0.013300000000000001,2.98,70060.0,28.58,0.011000000000000001,123506.0
FISV,78260000000.0,669800000.0,581670000.0,0.005,-0.8575,0.9359999999999999,-0.015,0.0204,2.54,4670000.0,115.8,0.001,3601577.0
FITB,26030000000.0,715100000.0,709730000.0,0.002,-0.1137,0.799,-0.022799999999999997,0.013999999999999999,1.95,5080000.0,35.91,-0.0066,9722446.0
FIVE,10750000000.0,55850000.0,54510000.0,0.01,-0.1306,,-0.0296,0.060599999999999994,4.25,776640.0,192.34,-0.0111,1252952.0
FIVN,11290000000.0,65459999.99999999,65300000.0,0.006999999999999999,-0.3247,0.9934999999999999,0.0011,0.0335,3.05,718060.0,174.9,-0.0675,1035896.0
FIXD,,,,,,,,,,779870.0,53.41,-0.0028000000000000004,706022.0
FIXX,477460000.0,45230000.0,37840000.0,0.003,-0.9373,0.8140000000000001,-0.09050000000000001,0.055099999999999996,3.44,606560.0,10.45,-0.0095,270193.0
FIZZ,4600000000.0,93280000.0,18000000.0,0.002,0.0,0.34299999999999997,0.0138,0.16399999999999998,2.33,1270000.0,48.39,0.0002,569971.0
FJP,,,,,,,,,,7050.0,51.78,-0.0042,2841.0
FKU,,,,,,,,,,3790.0,41.54,0.0104,2393.0
FLAC,141870000.0,14300000.0,,,,,,,0.44,39240.0,9.92,-0.0322,97277.0
FLACU,,,,,,,,,0.04,103790.0,10.52,0.005699999999999999,44432.0
FLDM,320390000.0,72490000.0,64019999.99999999,0.005,-0.1793,0.9059999999999999,-0.0019,0.11259999999999999,2.46,2930000.0,4.13,-0.0495,3801533.0
FLEX,8740000000.0,500000000.0,495890000.0,0.006,-0.0464,,0.0025,0.0149,1.44,5110000.0,17.9,-0.026600000000000002,4988576.0
FLGT,2290000000.0,22060000.0,14290000.0,0.38299999999999995,-0.019299999999999998,0.41100000000000003,0.1923,0.2026,1.38,2100000.0,92.79,-0.1056,1601061.0
FLIC,471080000.0,23860000.0,22730000.0,0.043,-0.0086,0.5760000000000001,-0.012199999999999999,0.008,2.83,64269.99999999999,19.45,0.0226,74666.0
FLIR,7050000000.0,131130000.0,129919999.99999999,0.008,-0.0277,0.9390000000000001,0.0137,0.0206,1.17,2290000.0,53.53,-0.006500000000000001,1355348.0
FLL,208430000.0,27110000.0,24410000.0,0.039,-0.0197,0.429,0.0013,0.0091,0.54,410500.0,7.5,-0.024700000000000003,324061.0
FLMN,372450000.0,46060000.0,35070000.0,0.036000000000000004,0.0,0.649,-0.0019,0.0103,1.15,313510.0,4.23,0.0317,399730.0
FLN,,,,,,,,,,6760.0,17.83,0.0073,1252.0
FLNT,517570000.00000006,78580000.0,41180000.0,0.004,0.0,0.32899999999999996,0.0236,0.022400000000000003,0.65,1410000.0,6.9,0.0058,5796590.0
FLUX,150220000.0,11630000.0,8020000.0,0.005,-0.4913,0.239,2.4546,0.0712,1.32,431320.0,12.56,-0.021,144780.0
FLWS,1680000000.0,64730000.00000001,24560000.0,0.256,-0.0426,0.871,-0.0259,0.2724,6.87,974070.0,26.32,-0.056600000000000004,1362888.0
FLXN,558770000.0,49300000.0,46060000.0,0.022000000000000002,-0.0352,,-0.004699999999999999,0.1778,15.05,544250.0,11.27,0.0171,685974.0
FLXS,245060000.0,7250000.0,6590000.0,0.057999999999999996,0.1247,0.5429999999999999,-0.0728,0.014499999999999999,2.57,37080.0,34.81,-0.0484,36291.0
FMAO,266279999.99999997,11090000.0,10030000.0,0.012,0.0054,0.198,0.0206,0.0155,14.46,10730.0,23.69,0.0189,6909.0
FMB,,,,,,,,,,173290.0,56.08,-0.0011,172188.0
FMBH,653860000.0,16730000.0,14530000.0,0.027000000000000003,-0.11720000000000001,0.369,0.061,0.020099999999999996,7.52,38760.0,39.06,0.0483,66322.0
FMBI,2360000000.0,113160000.0,112860000.0,0.009000000000000001,0.0016,0.8290000000000001,0.013000000000000001,0.0268,3.61,836280.0,20.37,0.017,794246.0
FMHI,,,,,,,,,,27620.0,53.95,-0.0009,67853.0
FMNB,435170000.0,28180000.0,25900000.0,0.011000000000000001,0.011899999999999999,0.428,-0.0039000000000000003,0.0105,4.54,59790.0,15.28,0.0693,102630.0
FMTX,1710000000.0,41090000.0,40360000.0,0.1329,0.0,0.903,0.3779,0.0699,5.74,491840.0,36.24,-0.0821,450966.0
FNCB,165800000.0,20240000.0,17000000.0,0.14300000000000002,0.0,0.182,0.0348,0.0102,6.98,24740.0,7.69,0.09699999999999999,34456.0
FNHC,86590000.0,13710000.0,9560000.0,0.094,0.0721,0.515,-0.09179999999999999,0.0141,1.75,76990.0,6.33,-0.08789999999999999,136640.0
FNK,,,,,,,,,,21940.0,40.96,0.0060999999999999995,26202.0
